topic,title,aliases,category,game
vault_3,Vault 3,,vault,Fallout New Vegas
vault_8,Vault 8,,vault,Fallout New Vegas
vault_11,Vault 11,,vault,Fallout New Vegas
vault_19,Vault 19,,vault,Fallout New Vegas
vault_21,Vault 21,,vault,Fallout New Vegas
vault_22,Vault 22,,vault,Fallout New Vegas
vault_34,Vault 34,,vault,Fallout New Vegas
vault_87,Vault 87,,vault,Fallout 3
vault_92,Vault 92,,vault,Fallout 3
vault_101,Vault 101,,vault,Fallout 3
vault_106,Vault 106,,vault,Fallout 3
vault_108,Vault 108,,vault,Fallout 3
vault_112,Vault 112,,vault,Fallout 3
vault_tec,Vault-Tec Corporation,,vault,Fallout series
vault_experiment,Vault experiment,Vault experiments,vault,Fallout series
garden_of_eden_creation_kit,Garden of Eden Creation Kit,GECK|G.E.C.K.,technology,Fallout series
forced_evolutionary_virus,Forced Evolutionary Virus,FEV,technology,Fallout series
pip_boy_3000,Pip-Boy 3000,Pip Boy|Pip-Boy,technology,Fallout 3 and New Vegas
vault_tec_assisted_targeting_system,V.A.T.S.,VATS|Vault-Tec Assisted Targeting System,technology,Fallout 3 and New Vegas
stealth_boy,Stealth Boy,,technology,Fallout 3 and New Vegas
securitron,Securitron,,technology,Fallout New Vegas
robobrain,Robobrain,,technology,Fallout 3 and New Vegas
mister_handy,Mr. Handy,Mr Handy,technology,Fallout 3 and New Vegas
protectron,Protectron,,technology,Fallout 3 and New Vegas
eyebot,Eyebot,,technology,Fallout 3 and New Vegas
vertibird,Vertibird,,technology,Fallout 3 and New Vegas
liberty_prime,Liberty Prime,,technology,Fallout 3
project_purity,Project Purity,Purifier,technology,Fallout 3
hoover_dam_power_grid,Hoover Dam,Hoover Dam power,technology,Fallout New Vegas
helios_one,HELIOS One,Helios One,technology,Fallout New Vegas
archimedes_ii,ARCHIMEDES II,Archimedes 2,technology,Fallout New Vegas
repconn_rocket_facility,REPCONN test site,REPCONN,technology,Fallout New Vegas
big_mt,Big MT,Big Empty,technology,Fallout New Vegas DLC
sierra_madre_vending_machine,Sierra Madre vending machine,Sierra Madre vending machines,technology,Fallout New Vegas DLC
cloud,Unclean Living,the Cloud,concept,Fallout New Vegas DLC
hologram,Hologram (Fallout: New Vegas),Sierra Madre holograms,technology,Fallout New Vegas DLC
alien_technology,Alien (Mothership Zeta),,technology,Fallout 3
power_armor,Power armor,,armor,Fallout series
t_45_power_armor,T-45 power armor,T45 power armor|T-45d,armor,Fallout 3
t_51_power_armor,T-51 power armor,T51 power armor|T-51b,armor,Fallout 3 and New Vegas
remnants_power_armor,Remnants power armor,Enclave remnants armor,armor,Fallout New Vegas
ncr_ranger_combat_armor,NCR Ranger combat armor,Ranger armor|black armor,armor,Fallout New Vegas
desert_ranger_combat_armor,Desert Ranger combat armor,Desert Ranger armor,armor,Fallout New Vegas DLC
advanced_riot_gear,Advanced Riot Gear,Riot gear,armor,Fallout New Vegas DLC
chinese_stealth_armor,Chinese stealth armor,Hei Gui armor,armor,Fallout 3
tesla_armor,Tesla armor,,armor,Fallout 3
combat_armor,Combat armor,,armor,Fallout 3 and New Vegas
fat_man,Fat Man,mini nuke launcher,weapon,Fallout 3 and New Vegas
mini_nuke,Mini nuke,mini nukes,weapon,Fallout 3 and New Vegas
laser_rifle,Laser rifle,AER9 laser rifle,weapon,Fallout 3 and New Vegas
plasma_rifle,Plasma rifle,,weapon,Fallout 3 and New Vegas
gauss_rifle,Gauss rifle,,weapon,Fallout 3 and New Vegas
tesla_cannon,Tesla cannon,,weapon,Fallout 3 and New Vegas
alien_blaster,Alien blaster,,weapon,Fallout 3 and New Vegas
railway_rifle,Railway rifle,,weapon,Fallout 3
chinese_assault_rifle,Chinese assault rifle,,weapon,Fallout 3
anti_materiel_rifle,Anti-materiel rifle,anti material rifle|AMR,weapon,Fallout New Vegas
service_rifle,Service rifle,NCR service rifle,weapon,Fallout New Vegas
marksman_carbine,Marksman carbine,,weapon,Fallout New Vegas
survivalists_rifle,Survivalist's rifle,,weapon,Fallout New Vegas DLC
medicine_stick,Medicine Stick,,weapon,Fallout New Vegas
euclids_c_finder,Euclid's C-Finder,,weapon,Fallout New Vegas
platinum_chip,Platinum chip,the Platinum Chip,artifact,Fallout New Vegas
holorifle,Holorifle,,weapon,Fallout New Vegas DLC
automatic_rifle,Automatic rifle,,weapon,Fallout New Vegas DLC
saturnite_fist,Saturnite fist,,weapon,Fallout New Vegas DLC
proton_axe,Proton axe,,weapon,Fallout New Vegas DLC
sonic_emitter,Old World Blues,,weapon,Fallout New Vegas DLC
stimpak,Stimpak,stimpack|stimpacks,medicine,Fallout 3 and New Vegas
super_stimpak,Super stimpak,super stimpack,medicine,Fallout New Vegas
radaway,RadAway,rad away,medicine,Fallout 3 and New Vegas
rad_x,Rad-X,,medicine,Fallout 3 and New Vegas
doctors_bag,Doctor's bag,,medicine,Fallout 3 and New Vegas
med_x,Med-X,,medicine,Fallout 3 and New Vegas
jet,Jet,,medicine,Fallout 3 and New Vegas
psycho,Psycho,,medicine,Fallout 3 and New Vegas
buffout,Buffout,,medicine,Fallout 3 and New Vegas
mentats,Mentats,,medicine,Fallout 3 and New Vegas
hydra,Hydra,,medicine,Fallout New Vegas
fixer,Fixer,,medicine,Fallout New Vegas
cateye,Cateye,cat eye,medicine,Fallout New Vegas
antivenom,Antivenom,anti venom,medicine,Fallout New Vegas
healing_powder,Healing powder,,medicine,Fallout New Vegas
broc_flower,Broc flower,,medicine,Fallout New Vegas
xander_root,Xander root,,medicine,Fallout New Vegas
sunset_sarsaparilla,Sunset Sarsaparilla,Sunset,medicine,Fallout New Vegas
nuka_cola,Nuka-Cola,,medicine,Fallout 3 and New Vegas
bottle_cap_currency,Bottle cap,caps|bottle caps,concept,Fallout 3 and New Vegas
ncr_dollar,NCR dollar,NCR money,concept,Fallout New Vegas
legion_denarius,Legion currency,denarius|aureus,concept,Fallout New Vegas
caravan_trade,Crimson Caravan,caravans,culture,Fallout 3 and New Vegas
radiation,Radiation,,concept,Fallout series
great_war,Great War,the Great War,event,Fallout series
resource_wars,Resource Wars,the Resource Wars,event,Fallout series
sino_american_war,Sino-American War,Sino American War,event,Fallout series
robco_industries,RobCo Industries,RobCo,organization,Fallout series
general_atomics_international,General Atomics International,General Atomics,organization,Fallout series
poseidon_energy,Poseidon Energy,,organization,Fallout series
west_tek,West Tek,West-Tek,organization,Fallout series
repconn_aerospace,REPCONN Aerospace,REPCONN,organization,Fallout New Vegas
sunset_sarsaparilla_company,Sunset Sarsaparilla Company,Sunset company,organization,Fallout New Vegas
crimson_caravan_company,Crimson Caravan Company,Crimson Caravan,organization,Fallout New Vegas
gun_runners,Gun Runners (Faction),the Gun Runners,organization,Fallout New Vegas
van_graffs,Van Graffs,Silver Rush,organization,Fallout New Vegas
westside_cooperative,Westside Cooperative,Westside co op,organization,Fallout New Vegas
followers_medicine,Followers of the Apocalypse,,culture,Fallout New Vegas
brotherhood_codex,Codex,,culture,Fallout New Vegas
legion_slavery,Caesar's Legion,,culture,Fallout New Vegas
ncr_citizenship,New California Republic,,culture,Fallout New Vegas
tribal_culture,Blackfoot,tribes,culture,Fallout series
wasteland_survival,Wasteland Survival Guide,Survival Guide,culture,Fallout 3 and New Vegas
ghoulification,Ghoul,,concept,Fallout series
super_mutation,Super mutant,,concept,Fallout series
nightkin,Nightkin,,creature,Fallout New Vegas
ghoul,Ghoul (Fallout 3),Ghouls|non-feral ghoul,creature,Fallout 3 and New Vegas
deathclaw,Deathclaw,deathclaws,creature,Fallout 3 and New Vegas
cazador,Cazador,cazadores,creature,Fallout New Vegas
centaur,Centaur,centaurs,creature,Fallout 3 and New Vegas
lakelurk,Lakelurk,lake lurks,creature,Fallout New Vegas
tunneler,Tunneler,tunnelers,creature,Fallout New Vegas DLC
